semantic_text,template_ids,occurrences,service
nova-compute.log.ts pid info nova.compute.resource_tracker req_id-id -final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172mb used_ram=2560mb phys_disk=15gb used_disk=20gb total_vcpus=16 used_vcpus=1 pci_stats=,['21'],6,nova-compute
nova-compute.log.ts pid info nova.compute.resource_tracker req_id-id -ts,['20'],211,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver - instance: id instance spawned successfully.,['10'],1,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver - instance: id instance ts successfully.,['10'],1,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver - instance: ts instance ts successfully.,['10'],308,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver req_id-id -instance: id creating image,['2'],1,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver req_id-id -instance: id deleting instance files /var/lib/nova/instances/04fbe775-607f-pid-a598-3983b58a5f18_del,['184'],1,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver req_id-id -instance: id ts,['184'],1,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.driver ts id -instance: ts,['184'],80,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.imagecache req_id-id -base or swap file too young to remove: /var/lib/nova/instances/_base/id,['33'],57,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.imagecache req_id-id -image id at /var/lib/nova/instances/_base/id: checking,['7'],4,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.imagecache req_id-id -image id at /var/lib/nova/instances/_base/id: in use: on this node 1 local 0 on other nodes sharing this instance storage,['8'],602,nova-compute
nova-compute.log.ts pid info nova.virt.libvirt.imagecache req_id-id -removing base or swap file: /var/lib/nova/instances/_base/id,"['17', '191']",2,nova-compute
nova-compute.log.ts pid info ts -instance: id ts,['5'],2,nova-compute
nova-compute.log.ts pid info ts -instance: ts,['5'],308,nova-compute
nova-compute.log.ts pid info ts -ts,"['2', '17', '186', '191']",6793,nova-compute
nova-compute.log.ts pid info ts id -instance: ts,['183'],122,nova-compute
nova-compute.log.ts pid info ts req_id-id -ts,['7'],704,nova-compute
nova-compute.log.ts pid ts nova.virt.libvirt.imagecache req_id-id -ts base ts /var/lib/nova/instances/_base/id,['16'],1021,nova-compute
nova-compute.log.ts pid warning nova.compute.manager req_id-id -while synchronizing instance power states found 1 instances in the database and 0 instances on the hypervisor.,['4'],4,nova-compute
nova-compute.log.ts pid warning nova.virt.libvirt.driver req_id-id -couldnt obtain the vcpu count from domain id: id exception: req_id: cpu affinity is not supported,['41'],1,nova-compute
nova-compute.log.ts pid warning nova.virt.libvirt.imagecache req_id-id -unknown base file: /var/lib/nova/instances/_base/id,['16'],1,nova-compute
nova-scheduler.log.ts pid info nova.scheduler.host_manager req_id-id -successfully synced instances from host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us.,['24'],1,nova-scheduler
nova-scheduler.log.ts pid info nova.scheduler.host_manager req_id-id -the instance sync for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us did not match. re-created its instancelist.,['28'],1,nova-scheduler
nova-scheduler.log.ts pid info nova.scheduler.host_manager ts -successfully synced instances from host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us.,['24'],29,nova-scheduler
nova-scheduler.log.ts pid info nova.scheduler.host_manager ts -the instance sync for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us did not match. re-created its instancelist.,['28'],22,nova-scheduler
ts critical keystonemiddleware.auth_token ts id -unable to validate token: failed to fetch token data from identity server,['190'],1,nova-api
ts error keystonemiddleware.auth_token ts id -bad response code while validating token: pid,['188'],1,nova-api
ts info nova.api.openstack.compute.server_external_events ts id -creating event ts for instance ts,['9'],1313,nova-api
ts info nova.metadata.wsgi.server - ts get ts http status: ts len: ts time: ts,['13'],8544,nova-api
ts info ts -ts http status: ts len: ts time: ts,"['1', '185', '192']",34606,nova-api
ts pid error oslo_service.periodic_task req_id-id -error during computemanager._run_image_cache_manager_pass,['187'],7,nova-compute
ts pid info nova.api.openstack.compute.server_external_events ts id -creating event ts for instance ts,['9'],597,nova-api
ts pid info nova.api.openstack.wsgi ts id -http exception thrown: no instances found for any event,['15'],1909,nova-api
ts pid info nova.compute.claims ts id -instance: ts,['19'],11460,nova-compute
ts pid info nova.compute.claims ts id -instance: ts attempting claim: memory pid mb disk 20 gb vcpus 1 cpu,['18'],1910,nova-compute
ts pid info nova.compute.manager - instance: ts during sync_power_state the instance has a pending task spawning. skip.,['12'],61,nova-compute
ts pid info nova.compute.manager - instance: ts vm stopped lifecycle event,['3'],1911,nova-compute
ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,['181'],2,nova-compute
ts pid info nova.compute.manager req_id-id -instance: ts during sync_power_state the instance has a pending task spawning. skip.,['181'],3680,nova-compute
ts pid info nova.compute.manager req_id-id -running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from ts to ts instances.,['56'],28,nova-compute
ts pid info nova.compute.manager ts id -instance: ts took ts seconds to build instance.,['11'],1911,nova-compute
ts pid info nova.compute.manager ts id -instance: ts took ts seconds to deallocate network for instance.,['14'],1910,nova-compute
ts pid info nova.compute.manager ts id -instance: ts took ts seconds to ts the instance on the hypervisor.,['182'],3737,nova-compute
ts pid info nova.compute.resource_tracker req_id-id -final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172mb ts phys_disk=15gb ts total_vcpus=16 ts pci_stats=,['21'],1633,nova-compute
ts pid info nova.compute.resource_tracker req_id-id -ts,['20'],3266,nova-compute
ts pid info nova.scheduler.host_manager ts -successfully synced instances from host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us.,['24'],472,nova-scheduler
ts pid info nova.scheduler.host_manager ts -the instance sync for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us did not match. re-created its instancelist.,['28'],341,nova-scheduler
ts pid info nova.virt.libvirt.driver - instance: ts instance ts successfully.,['10'],3820,nova-compute
ts pid info nova.virt.libvirt.driver ts id -instance: ts,['184'],3736,nova-compute
ts pid info nova.virt.libvirt.imagecache req_id-id -base or swap file too young to remove: /var/lib/nova/instances/_base/id,['33'],938,nova-compute
ts pid info nova.virt.libvirt.imagecache req_id-id -image id at /var/lib/nova/instances/_base/id: in use: on this node 1 local 0 on other nodes sharing this instance storage,['8'],11441,nova-compute
ts pid info ts -ts,"['17', '186', '191']",3994,nova-compute
ts pid info ts id -instance: ts,['183'],5606,nova-compute
ts pid info ts req_id-id -ts,['7'],13074,nova-compute
ts pid ts nova.virt.libvirt.imagecache req_id-id -ts base ts /var/lib/nova/instances/_base/id,['16'],17127,nova-compute
ts pid warning nova.compute.manager req_id-id -while synchronizing instance power states found 1 instances in the database and 0 instances on the hypervisor.,['4'],41,nova-compute
ts pid warning nova.virt.libvirt.driver req_id-id -couldnt obtain the vcpu count from domain id: ts exception: req_id: cpu affinity is not supported,['41'],11,nova-compute
ts warning keystonemiddleware.auth_token ts id -identity response: doctypehtmlpublic_ietfdtdhtml20en,['189'],1,nova-api
