template_id,template,occurrences
19,<*> <*> <*> 2931 INFO nova.compute.claims <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> <*> <*> <*> <*> <*> <*> <*>,12390
20,<*> <*> <*> 2931 INFO nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] <*> <*> <*> <*> <*> <*> <*> <*>,3478
21,<*> <*> <*> 2931 INFO nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[],1739
22,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
23,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
24,<*> <*> <*> 25998 INFO nova.scheduler.host_manager <*> - - - - -] Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,502
25,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 748f18b4-88e3-4b60-822a-f2b25fac50b2] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
26,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 20ae04a8-169b-43fc-87cc-52cdf2fa77d3] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
27,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e15ce82b-f229-4c22-9fc3-8d30dd349cf6] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
28,<*> <*> <*> 25998 INFO nova.scheduler.host_manager <*> - - - - -] The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,364
29,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 3475e6b6-0bc7-4218-84e2-e17ba43e6e0d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
30,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 2e8c8c4a-823f-4d79-bb72-996b528cbca4] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
31,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
32,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 53a49cc8-0870-47f1-a33c-8bdb40a4a5fa] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
33,<*> <*> <*> 2931 INFO nova.virt.libvirt.imagecache [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,995
34,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: ff591e5e-e6f2-4a41-84c4-99d889344f20] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
35,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 5f70629e-2759-4e41-b89d-25a1f4d16399] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
36,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4e05e0e0-9ec3-4beb-a6f4-4e071884ec98] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
37,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: df31d190-68af-4d8c-92d7-78034acae031] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
38,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 993aa6ff-b8e2-4966-a785-4e5f0fe28ce9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
39,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: af9d460c-89bf-4b71-b362-0b10adc2ff37] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
40,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f14b2b2f-4cc2-450a-8314-ab3b6f6f30a0] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
41,<*> <*> <*> 2931 WARNING nova.virt.libvirt.driver [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] couldn't obtain the vcpu count from domain id: <*> exception: Requested operation is not valid: cpu affinity is not supported,12
42,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b93203d4-c79b-41fe-8090-5f2b89b0d081] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
43,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: a642a091-0eba-48db-b4aa-51f1453995d1] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
44,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: d3c2c16b-f0f8-4a6c-80e9-7d293ebe4f68] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
45,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 8233d344-744a-47b0-84ba-b768fed29b35] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
46,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 45508f66-530a-4ee4-ab8b-ea6677246cb5] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
47,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 969dbe7f-36a6-422b-988b-31f9e0ccd93d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
48,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: cdd59e0a-ebc8-42d0-a603-98f17f713ed7] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
49,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f6a24803-281d-49f6-8c29-c14e71fd0650] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
50,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 636b44eb-4c54-4438-90a6-68a156f33b6d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
51,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4ed2be21-dd2b-4d7f-aaab-6461150f9907] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
52,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: fac7db77-5f4b-46dd-b3ad-6f54fd90a6cf] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
53,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 2d33540d-2191-4695-9d6a-aa745ef9a1a9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
54,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4d59535f-5fef-48ed-a2fe-557fea4e22b0] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
55,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: df20656c-8ea7-4f5c-949d-23e71f5f06bd] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
56,<*> <*> <*> 2931 INFO nova.compute.manager [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from <*> <*> to <*> <*> <*> instances.,30
57,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 56bbbaa6-d1d1-4243-bca0-be9371daceed] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
58,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b043f927-338a-4816-bfe2-84ba3d56ecc3] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
59,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e1ca809f-1e8e-41d6-a515-a153b9773d3e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
60,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 53edb4bd-93dd-4237-8c64-ba8d8f5e3b34] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
61,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: d17dcb59-d2df-443d-9acf-bea2de2e96cf] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
62,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 1b403aac-3d6e-49de-aacf-4548fb97f58d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
63,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 1d53a142-ce58-4cb2-be87-8d46966e5f99] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
64,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 1aae3f11-e850-4550-9e8e-740db282d538] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
65,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 45d54c78-36c7-4a4b-b402-3daa54d446b1] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
66,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: fc1e0afa-e01f-4892-85f5-83742a69a416] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
67,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: aa70b8f3-122f-49f9-9d88-efcdbbd1a9d2] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
68,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4ad93dba-0941-4a90-9eb0-7b51ce5288cd] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
69,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f96a82ca-483e-437a-adfd-8f9054497337] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
70,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: be0c740e-1556-479b-b78a-8e0e9e71ebd6] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
71,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 7953dc44-3e59-4a77-86a6-333ad03f4efa] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
72,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f6a102cb-e269-4fa8-860f-19a3d13d60f5] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
73,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 942d95b2-843b-4199-9d3d-a68dfeba5780] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
74,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 39a1204b-e3ea-4544-bffe-c61289a5d039] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
75,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: c2e493b9-a0f5-4a51-8a5e-90a38c78ab05] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
76,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 165779d5-2169-453e-a112-7ea28fd4ad07] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
77,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: bbac58ce-003a-4a2b-9558-bc1b9d791fd9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
78,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f71335e9-ba7c-4aaf-a694-5fb8f4b0971c] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
79,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 8b38fb89-c7eb-4f8d-8f9a-a7b77e80a5df] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
80,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: edf32284-d52c-4326-a2d6-47d829ed6aea] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
81,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 62e51fb2-fadc-4d93-8d22-ac63e63fda25] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
82,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 74f52824-28d7-4056-8dd4-a102870729ff] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
83,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4a903015-9dfa-43a8-bcc0-50e78262364c] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
84,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 823a5c5c-7b22-4377-a7a1-d775040907c4] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
85,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 13303fd6-9be4-4084-9a14-60b9070a1071] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
86,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 1fd3cab1-862e-4bc6-8bde-da536983052f] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
87,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 678813da-f02c-4aea-9dab-e5687563007b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
88,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 99583a33-38df-4206-8b7c-11fef4c01623] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
89,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: a6899336-f8ec-44d6-991d-3a825df41e52] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
90,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e5850bd7-ebd5-40b5-b2da-abf6efd934e6] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
91,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e83f52e6-747c-4d27-b8f1-c62c8e6eff02] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
92,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 6db3c764-0670-4e69-9e2d-3c61d2ef9151] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
93,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 579478d1-23e1-4c6e-899a-f789a2c1e59b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
94,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 4ee2ad9d-ff1a-4e58-a053-9db8efcec0cd] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
95,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 2ba39df0-2723-4431-a4c9-b3335298f0be] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
96,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b0140120-7447-4252-8015-4e14b22f6e8b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
97,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 381cc41a-c18d-4604-be10-4721a978d62d] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
98,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 983f91b3-13d5-48ca-bca9-6dd146e98de7] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
99,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 293a8abc-b6b2-4c7d-97d4-65ffe15167fe] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
100,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: d6a258a5-9c6a-48cc-b4d7-d40be6738049] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
101,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 0b058ca8-a3b0-444c-bb6e-c8eb1b7a71b7] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
102,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 43604db1-75f1-45f7-82d1-b93a9be4538a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
103,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: a6c5e900-d575-4447-a815-3e156c84aa90] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
104,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: e9a1c8fd-34e6-4dc3-8a80-cec85ffdf62e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
105,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f3253bb8-9a74-431d-8b5c-317caec23c3a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
106,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: edbdf46f-f748-42a1-923f-14a30cfe6ffe] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
107,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 97662f78-a904-4fe3-88eb-2f96d2e74fc4] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
108,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 11725358-1898-4443-98db-4ee5642f9f9e] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
109,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: a1541bc9-921f-40be-b524-3bb60e25abf6] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
110,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: b3306d6a-02f7-42c2-94d4-21b7e08391ee] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
111,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: db03eac2-0e34-406b-82d8-b373515d81f9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
112,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: f7f60458-4e48-4ce1-b3f0-8fcd7f619c0a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
113,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 67089a83-23da-4a1f-9dfa-b0aaf6ecc80f] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
114,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 8b9da7b6-3469-4443-9fa4-de62b3c2b1d9] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
115,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: a6ed3435-01c1-412a-93b6-2e431429c21a] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
116,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 21354a9e-a5b1-4412-a444-27374721659b] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
